id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
3781,Rental unit in Boston · ★4.96 · 1 bedroom · 1 bed · 1 bath,East Boston,42.36413,-71.02991,Entire home/apt,125,29,24,0.23,1,271,0
5506,Guest suite in Boston · ★4.79 · 1 bedroom · 1 bed · 1 bath,Roxbury,42.32844,-71.09581,Entire home/apt,135,3,122,0.68,10,87,4
6695,Condo in Boston · ★4.81 · Studio · 2 beds · 1 bath,Roxbury,42.32802,-71.09387,Entire home/apt,179,3,127,0.73,10,107,4
8789,Rental unit in Boston · ★4.67 · 1 bedroom · 1 bed · 1 bath,Beacon Hill,42.35867,-71.06307,Entire home/apt,91,91,27,0.24,9,237,2
10813,Rental unit in Boston · ★5.0 · Studio · 1 bed · 1 bath,Back Bay,42.35061,-71.08787,Entire home/apt,86,32,5,0.09,11,365,1
10986,Condo in Boston · Studio · 1 bed · 1 bath,North End,42.36377,-71.05206,Entire home/apt,86,32,0,,11,169,0
18711,Rental unit in Boston · ★4.31 · 3 bedrooms · 3 beds · 1 bath,Dorchester,42.32212,-71.06096,Entire home/apt,139,30,52,0.31,27,245,1
29765,Rental unit in Boston · ★4.97 · 1 bedroom · 1 bed · 1 bath,Charlestown,42.37754,-71.06642,Entire home/apt,266,2,101,0.61,1,2,1
40601,Home in Boston · ★4.98 · 1 bedroom · 1 bed · 1.5 baths,Jamaica Plain,42.31347,-71.11082,Private room,100,29,98,0.6,1,282,7
45987,Rental unit in Charlestown · ★4.65 · 1 bedroom · 1 bath,Charlestown,42.37424,-71.06081,Entire home/apt,100,29,137,0.84,1,87,2
47521,Home in Dorchester · ★4.45 · 3 bedrooms · 3 beds · 1.5 shared baths,Dorchester,42.29871,-71.05954,Private room,55,1,333,2.06,8,259,1
60029,Rental unit in Boston · ★4.73 · 1 bedroom · 1 bed · 1 shared bath,Roxbury,42.32546,-71.08894,Private room,80,29,144,0.91,4,179,2
60356,Rental unit in Boston · ★4.84 · 1 bedroom · 1 bed · 1 bath,Beacon Hill,42.35894,-71.0631,Entire home/apt,100,32,19,0.15,9,218,0
67774,Condo in Boston · ★4.83 · 1 bedroom · 1 bed · 1 bath,Downtown,42.35689,-71.06206,Entire home/apt,105,91,48,0.36,9,104,1
77681,Rental unit in Boston · ★4.36 · 1 bedroom · 1 bed · 1 bath,Charlestown,42.37865,-71.06373,Private room,140,29,71,0.48,1,365,8
77691,Home in Boston · ★4.41 · 3 bedrooms · 3 beds · 1.5 baths,Dorchester,42.29871,-71.05954,Private room,60,1,299,1.92,8,229,0
163941,Condo in Boston · ★4.68 · 2 bedrooms · 3 beds · 1 bath,Roxbury,42.32806,-71.09423,Entire home/apt,275,3,268,1.78,10,139,19
179244,Home in Boston · ★4.43 · 1 bedroom · 1 bed · 1 private bath,Dorchester,42.29871,-71.05954,Private room,71,1,109,0.73,8,71,0
179245,Townhouse in Boston · ★4.49 · 2 bedrooms · 2 beds · 2 baths,Dorchester,42.29871,-71.05954,Private room,65,1,64,0.43,8,241,0
184893,Bed and breakfast in Charlestown · 1 bedroom · 1 bed · 1 bath,Charlestown,42.37823,-71.06778,Private room,328,4,0,,3,90,0
197727,Condo in Boston · ★4.96 · 1 bedroom · 1 bed · 1 shared bath,Jamaica Plain,42.31331,-71.12061,Private room,58,30,57,0.38,1,77,5
197972,Rental unit in Boston · ★4.87 · 1 bedroom · 1 bed · 1 bath,Jamaica Plain,42.31533,-71.11025,Entire home/apt,116,3,479,3.23,2,74,22
205894,Home in Boston · ★4.44 · 3 bedrooms · 1 bed · 1.5 shared baths,Dorchester,42.29871,-71.05954,Private room,62,1,216,1.44,8,211,1
210097,Home in Boston · ★4.88 · Studio · 1 bed · 1 bath,Jamaica Plain,42.31685,-71.10867,Entire home/apt,139,29,289,1.94,1,0,34
220676,Townhouse in Boston · ★4.93 · 1 bedroom · 1 bed · 1 private bath,North End,42.36614,-71.05226,Private room,195,3,323,2.17,1,89,30
257588,Rental unit in Boston · ★4.85 · 2 bedrooms · 4 beds · 1 bath,South Boston,42.33255,-71.04125,Entire home/apt,300,2,462,3.32,1,222,42
297994,Home in Boston · ★4.53 · 2 bedrooms · 2 beds · 1 bath,South Boston,42.33583,-71.05271,Entire home/apt,190,28,53,0.37,1,88,19
315982,Townhouse in Boston · ★4.36 · 2 bedrooms · 2 beds · 2 baths,Dorchester,42.29871,-71.05954,Entire home/apt,187,1,120,0.84,8,342,0
377474,Home in Boston · ★4.55 · 3 bedrooms · 3 beds · 1.5 baths,Dorchester,42.29871,-71.05954,Private room,45,1,68,0.49,8,0,34
447826,Home in Boston · ★4.83 · 1 bedroom · 1 bed · 1 shared bath,Jamaica Plain,42.31658,-71.11012,Private room,75,5,390,2.79,1,221,28
496022,Home in Boston · ★4.93 · 1 bedroom · 1 bed · 1 private bath,Jamaica Plain,42.31062,-71.1176,Private room,,91,16,0.13,1,0,0
507525,Rental unit in Boston · ★5.0 · 1 bedroom · 2 beds · 1 bath,Bay Village,42.34914,-71.06781,Entire home/apt,65,180,8,0.06,1,0,0
530983,Home in Boston · ★4.40 · 5 bedrooms · 5 beds · 2 baths,Dorchester,42.31368,-71.0612,Entire home/apt,262,30,65,0.48,27,206,0
533152,Rental unit in Boston · ★4.60 · 2 bedrooms · 2 beds · 1 bath,Dorchester,42.32212,-71.06096,Entire home/apt,131,30,63,0.53,27,357,3
561769,Rental unit in Boston · ★4.28 · 3 bedrooms · 7 beds · 1 bath,Dorchester,42.31371,-71.06126,Entire home/apt,126,30,65,0.47,27,314,1
579605,Rental unit in Boston · ★4.43 · 2 bedrooms · 2 beds · 1 bath,Dorchester,42.32212,-71.06095,Entire home/apt,139,30,58,0.42,27,351,1
583255,Rental unit in Boston · ★5.0 · 1 bedroom · 1 bed · 1 bath,Brighton,42.34096,-71.14647,Entire home/apt,,91,11,0.08,1,0,0
601763,Rental unit in Boston · ★4.56 · 3 bedrooms · 6 beds · 1 bath,West Roxbury,42.29192,-71.15407,Entire home/apt,141,30,43,0.53,27,340,1
611081,Boat in Boston · ★4.80 · 1 bedroom · 4 beds · 1 bath,Charlestown,42.37579,-71.04981,Entire home/apt,180,2,96,1.09,3,345,26
619142,Home in Boston · ★4.79 · 1 bedroom · 1 bed · 1 bath,Charlestown,42.377338,-71.063095,Entire home/apt,175,3,181,1.31,1,1,12
646087,Townhouse in Boston · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,South Boston,42.33451,-71.04983,Private room,213,1,8,0.09,1,173,0
708802,Rental unit in Charlestown · ★4.91 · 1 bedroom · 2 beds · 1 bath,Charlestown,42.3782692,-71.06332397,Entire home/apt,214,2,446,3.28,1,0,37
743211,Home in Boston · ★4.84 · 4 bedrooms · 5 beds · 2.5 baths,Jamaica Plain,42.30702,-71.11283,Entire home/apt,689,3,77,0.59,2,233,8
750438,Rental unit in Boston · ★4.88 · 1 bedroom · 1 bed · 1 private bath,Jamaica Plain,42.30733,-71.11129,Private room,115,2,264,2.06,1,360,29
753446,Condo in Roslindale · ★4.82 · 1 bedroom · 2 beds · 1 shared bath,Roslindale,42.28573,-71.12334,Private room,55,91,142,1.41,1,365,0
789843,Condo in Boston · ★4.94 · 1 bedroom · 1 bed · 1 bath,Back Bay,42.35244,-71.0852,Entire home/apt,236,2,81,0.72,1,0,42
801680,Condo in Boston · ★4.85 · Studio · 1 bed · 1 bath,Roxbury,42.32795,-71.09412,Entire home/apt,132,3,67,0.5,10,153,4
820073,Loft in Boston · ★4.96 · 1 bedroom · 2 beds · 2 baths,Downtown,42.3558,-71.06104,Entire home/apt,226,2,134,1.03,2,0,55
849408,Rental unit in Boston · ★4.85 · 3 bedrooms · 5 beds · 2 baths,Roslindale,42.29038,-71.13919,Entire home/apt,295,4,93,0.77,2,89,15
863788,Condo in Boston · ★5.0 · 2 bedrooms · 2 beds · 2 baths,South End,42.344162,-71.070381,Entire home/apt,595,28,23,0.18,1,16,6
891661,Rental unit in Boston · ★4.70 · 1 bedroom · 2 beds · 1 bath,North End,42.3665,-71.05296,Entire home/apt,115,29,613,4.68,1,0,49
894539,Bed and breakfast in Roslindale · ★4.85 · 1 bedroom · 1 bed · 1.5 shared baths,Roslindale,42.29017,-71.13169,Private room,100,29,63,0.51,2,47,0
973695,Condo in Boston · ★4.76 · 1 bedroom · 2 beds · 1 private bath,Downtown,42.3597641,-71.06116486,Private room,200,91,61,0.49,1,365,0
989163,Aparthotel in Boston · ★4.85 · Studio · 1 bed · 1 bath,South End,42.34308,-71.07316,Entire home/apt,184,2,78,0.62,7,132,8
1055627,Rental unit in Boston · ★4.25 · 1 bedroom · 1 bed · 1 bath,Downtown,42.36194,-71.06256,Entire home/apt,,91,8,0.06,2,0,0
1071235,Rental unit in Jamaica Plain · ★4.82 · 1 bedroom · 1 bed · 1 bath,Jamaica Plain,42.31653,-71.11049,Entire home/apt,113,3,327,2.53,2,167,0
1077105,Rental unit in Boston · Studio · 1 bed · 1 bath,South End,42.34022,-71.075,Entire home/apt,,91,0,,1,0,0
1090545,Home in Boston · ★4.63 · 1 bedroom · 1 bed · 1 private bath,Back Bay,42.34475,-71.08204,Private room,214,29,117,0.91,2,364,0
1092093,Rental unit in Boston · ★4.68 · 1 bedroom · 1 bed · 2 baths,Mission Hill,42.33395767,-71.10222626,Entire home/apt,105,91,31,0.24,9,306,1
1109224,Rental unit in Boston · ★4.74 · 4 bedrooms · 6 beds · 2 baths,Jamaica Plain,42.32031,-71.1129,Entire home/apt,519,2,91,0.73,1,217,3
1130279,Rental unit in Boston · ★4.75 · 3 bedrooms · 3 beds · 1 bath,North End,42.36489,-71.05198,Entire home/apt,539,2,145,1.13,1,0,40
1252489,Rental unit in Boston · ★4.92 · 1 bedroom · 1 bed · 1 bath,Beacon Hill,42.35977,-71.06774,Entire home/apt,,91,64,0.5,1,0,0
1275498,Rental unit in Boston · ★4.83 · 1 bedroom · 1 bed · 1 bath,South End,42.34294,-71.07304,Entire home/apt,197,2,101,0.8,7,137,18
1303261,Rental unit in Boston · ★4.45 · 1 bedroom · 2 beds · 1 bath,Beacon Hill,42.35714,-71.06968,Entire home/apt,425,91,23,0.19,1,358,0
1321422,Rental unit in Dorchester · ★4.88 · 2 bedrooms · 4 beds · 1 bath,Dorchester,42.30907,-71.04674,Entire home/apt,120,1,615,4.85,2,80,15
1374434,Rental unit in Boston · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,Roxbury,42.32546,-71.08894,Private room,70,29,45,0.36,4,179,3
1374466,Home in Boston · ★4.87 · 1 bedroom · 1 bed · 1 shared bath,Roxbury,42.32546,-71.08894,Private room,72,29,45,0.37,4,84,5
1403408,Home in Boston · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,Roxbury,42.32546,-71.08894,Private room,75,29,26,0.21,4,172,3
1425973,Home in Boston · ★4.79 · 2 bedrooms · 2 beds · 2.5 shared baths,South End,42.34164,-71.07964,Private room,449,2,39,0.31,1,76,5
1445064,Rental unit in Boston · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,Charlestown,42.38017,-71.06236,Private room,65,29,115,0.92,1,270,4
1472520,Home in Boston · ★4.87 · 1 bedroom · 2 beds · 1 private bath,Dorchester,42.30856,-71.04646,Private room,70,1,667,5.3,2,0,43
1544144,Townhouse in Charlestown · ★4.99 · 2 bedrooms · 3 beds · 2 baths,Charlestown,42.37243,-71.06349,Entire home/apt,450,4,69,1.09,1,24,22
1551205,Rental unit in Boston · ★4.85 · 2 bedrooms · 2 beds · 2 baths,Fenway,42.34175,-71.08359,Entire home/apt,415,91,40,0.32,1,364,0
1596470,Townhouse in Boston · ★4.98 · 3 bedrooms · 5 beds · 3 baths,Bay Village,42.34988,-71.06918,Entire home/apt,450,4,166,1.85,1,0,22
1596664,Townhouse in Boston · ★4.83 · 1 bedroom · 1 bed · 2 shared baths,Roxbury,42.3256,-71.09413,Private room,58,31,24,0.35,4,124,0
1644031,Townhouse in Boston · ★4.84 · 1 bedroom · 1 bed · 1 private bath,South Boston,42.33835,-71.0472,Private room,119,1,497,5.22,1,82,99
1668313,Home in Boston · ★4.79 · 1 bedroom · 1 bed · 1 shared bath,Roslindale,42.28132,-71.13377,Private room,,29,38,0.31,2,0,0
1682936,Rental unit in Boston · ★4.85 · 1 bedroom · 2 beds · 1.5 baths,Roxbury,42.32382,-71.09641,Entire home/apt,105,30,234,1.96,4,183,3
1692573,Home in Boston · ★4.90 · 2 bedrooms · 3 beds · 1 bath,Jamaica Plain,42.31293,-71.11527,Entire home/apt,170,2,278,2.25,1,308,23
1721016,Loft in Boston · ★4.90 · 1 bedroom · 1 bed · 1.5 baths,Roslindale,42.28639,-71.13199,Entire home/apt,76,29,10,0.11,2,220,0
1724900,Home in Boston · ★4.61 · 2 bedrooms · 2 beds · 1 bath,Roslindale,42.28447,-71.13301,Entire home/apt,238,29,44,0.36,2,364,0
1810172,Home in Boston · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,Roslindale,42.28127,-71.13304,Private room,69,29,45,0.36,2,364,1
1810397,Townhouse in Boston · ★4.96 · 3 bedrooms · 4 beds · 2.5 baths,South End,42.34279,-71.0711,Entire home/apt,995,5,50,0.43,1,327,1
1819994,Condo in Boston · 2 bedrooms · 1 bed · 1 bath,Fenway,42.34981,-71.09476,Entire home/apt,265,91,2,0.02,4,363,0
1886037,Rental unit in Boston · 2 bedrooms · 2 beds · 1.5 baths,Beacon Hill,42.35985,-71.0717,Entire home/apt,,91,1,0.01,1,0,0
1956275,Rental unit in Boston · ★4.41 · 3 bedrooms · 3 beds · 1.5 baths,Jamaica Plain,42.3079,-71.12378,Entire home/apt,,91,105,0.87,1,0,0
2000797,Home in Boston · ★4.73 · 1 bedroom · 1 bed · 1 shared bath,Dorchester,42.31465,-71.0624,Private room,90,29,200,1.73,4,361,24
2014651,Rental unit in Boston · ★4.62 · 1 bedroom · 1 bed · 1 bath,Jamaica Plain,42.30593,-71.10733,Private room,120,91,38,0.31,1,365,0
2014882,Home in Brighton · ★4.71 · 1 bedroom · 2 beds · 1 private bath,Brighton,42.34245,-71.15758,Private room,75,3,310,2.68,2,154,32
2021483,Condo in Boston · ★4.85 · 2 bedrooms · 4 beds · 2 baths,South Boston,42.3358,-71.04948,Entire home/apt,500,1,20,0.22,5,82,11
2021489,Condo in Boston · ★4.73 · 1 bedroom · 1 bed · 1 private bath,South Boston,42.33375,-71.04767,Private room,220,29,85,0.91,5,274,1
2108738,Rental unit in Boston · ★4.31 · Studio · 1 bed · 1 bath,Back Bay,42.3504,-71.08891,Entire home/apt,,91,32,0.26,1,0,0
2126053,Rental unit in Boston · ★4.84 · Studio · 1 bed · 1 bath,Beacon Hill,42.35771,-71.06978,Entire home/apt,140,29,121,1.03,1,70,7
2141306,Rental unit in Boston · ★4.86 · 2 bedrooms · 2 beds · 1 bath,Downtown,42.3559,-71.05998,Entire home/apt,,91,7,0.06,1,0,0
2183117,Rental unit in Boston · ★4.83 · 1 bedroom · 1 bed · 1 bath,Allston,42.34995,-71.13427,Entire home/apt,130,30,52,0.48,1,77,5
2215762,Rental unit in Boston · ★4.82 · 1 bedroom · 1 bed · 1 bath,South End,42.342121,-71.075073,Entire home/apt,219,3,76,0.65,7,0,20
2262752,Rental unit in Boston · ★4.88 · 1 bedroom · 1 bed · 1 bath,Jamaica Plain,42.30554,-71.10685,Private room,161,31,8,0.07,1,365,0
2277821,Rental unit in Boston · ★4.96 · 2 bedrooms · 2 beds · 2 baths,Back Bay,42.34877,-71.08418,Entire home/apt,349,10,183,1.55,13,79,0
2292495,Rental unit in Boston · ★4.77 · 1 bedroom · 1 bed · 1 bath,South End,42.34125,-71.07604,Entire home/apt,90,33,78,0.69,6,223,5
2381143,Rental unit in Boston · ★4.89 · 1 bedroom · 1 bed · 1 bath,Brighton,42.34391,-71.15628,Entire home/apt,60,91,9,0.08,3,128,0
2395326,Rental unit in Boston · ★4.86 · 1 bedroom · 1 bed · 1 bath,South End,42.34568,-71.07169,Entire home/apt,,29,407,3.46,1,0,0
2410846,Rental unit in Boston · ★4.67 · 1 bedroom · 1 bed · 1 bath,Downtown,42.35702,-71.06168,Entire home/apt,130,91,36,0.31,1,155,0
2495047,Rental unit in Boston · ★4.82 · Studio · 1 bath,South End,42.34309,-71.07316,Entire home/apt,215,2,76,0.67,7,0,15
2526773,Rental unit in Brighton · ★4.83 · 1 bedroom · 1 bed · 1 bath,Brighton,42.34272,-71.15672,Entire home/apt,67,91,18,0.16,3,106,0
2658094,Rental unit in Boston · ★4.56 · 2 bedrooms · 7 beds · 1 bath,North End,42.36597,-71.05271,Entire home/apt,149,32,145,1.25,3,363,1
2672058,Rental unit in Boston · ★4.25 · 1 bedroom · 1 bed · 1 bath,Allston,42.35429,-71.13251,Private room,,91,12,0.1,1,0,0
2701124,Rental unit in Boston · ★4.61 · 1 bedroom · 2 beds · 1 bath,Back Bay,42.34492,-71.08482,Entire home/apt,280,29,74,0.65,1,365,0
2723274,Condo in Boston · ★4.88 · 2 bedrooms · 1 bed · 1 bath,Bay Village,42.34868,-71.07043,Entire home/apt,,29,26,0.22,1,0,0
2754975,Rental unit in Boston · ★4.87 · 1 bedroom · 2 beds · 1 bath,Beacon Hill,42.35902,-71.06296,Entire home/apt,150,365,99,0.86,1,108,0
